Entreprise;Poste;Description
TREENITY SOLUTIONS;Senior Fullstack Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Vue.js and Django.
Deployment & Cloud Management: Deploy and manage applications on Google Cloud, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Flask (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Google Cloud.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Flask, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 11?

Be part of an innovative and fast-growing company revolutionizing the e-commerce sector.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
CARFAC;Software Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using TypeScript and NestJS.
Deployment & Cloud Management: Deploy and manage applications on Google Cloud, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Flask (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Google Cloud.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Flask, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 12?

Be part of an innovative and fast-growing company revolutionizing the cloud services.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
HUXLEY ASSOCIATES BELGIUM;Senior Fullstack Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Angular and Express.js.
Deployment & Cloud Management: Deploy and manage applications on Google Cloud, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Flask (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Google Cloud.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Flask, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 13?

Be part of an innovative and fast-growing company revolutionizing the digital health sector.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
Braindidge;Application Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Svelte and Flask.
Deployment & Cloud Management: Deploy and manage applications on Azure, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Express.js (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Azure.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Express.js, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 14?

Be part of an innovative and fast-growing company revolutionizing the tech industry.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
The Flex;Senior Fullstack Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Angular and Express.js.
Deployment & Cloud Management: Deploy and manage applications on DigitalOcean, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Express.js (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and DigitalOcean.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Express.js, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 15?

Be part of an innovative and fast-growing company revolutionizing the tech industry.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
HYUNDAI;Fullstack Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using TypeScript and NestJS.
Deployment & Cloud Management: Deploy and manage applications on Heroku, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Django Rest Framework (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Heroku.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Django Rest Framework, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 16?

Be part of an innovative and fast-growing company revolutionizing the digital health sector.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
AG INSURANCE;React/Node Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Angular and Express.js.
Deployment & Cloud Management: Deploy and manage applications on Heroku, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Django Rest Framework (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Heroku.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Django Rest Framework, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 17?

Be part of an innovative and fast-growing company revolutionizing the AI solutions space.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
APPL;Fullstack Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Vue.js and Django.
Deployment & Cloud Management: Deploy and manage applications on Google Cloud, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Flask (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Google Cloud.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Flask, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 18?

Be part of an innovative and fast-growing company revolutionizing the digital health sector.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
Cegelec Belgium;Fullstack Developer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Svelte and Flask.
Deployment & Cloud Management: Deploy and manage applications on DigitalOcean, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Spring Boot (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and DigitalOcean.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Spring Boot, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 19?

Be part of an innovative and fast-growing company revolutionizing the cloud services.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
HYUNDAI;Cloud Fullstack Engineer;"Key Responsibilities

Full-Stack Development: Design, develop, and maintain scalable web applications using Angular and Express.js.
Deployment & Cloud Management: Deploy and manage applications on Google Cloud, utilizing serverless architecture.
API Development: Design, implement, and optimize RESTful APIs using Django Rest Framework (Python optional) and other modern frameworks.
Automation & Scripting: Build automation tools to streamline development processes.
Problem-Solving & Debugging: Analyze complex problems, identify root causes, and implement efficient solutions.
Collaboration & Communication: Work closely with cross-functional teams to ensure seamless integration and execution of key projects.
Code Quality & Best Practices: Implement CI/CD pipelines, conduct code reviews, and ensure best practices in Git, testing, and software quality assurance.

What We’re Looking For

Proficiency in Node.js, React, and Google Cloud.
Experience with serverless applications and cloud infrastructure.
Strong problem-solving skills and ability to quickly learn new technologies.
Familiarity with Django Rest Framework, Python, and scripting is a plus.
Understanding of modern software development practices (CI/CD, testing, Git).
Excellent communication and collaboration skills.
Adaptability and a proactive, solution-oriented mindset.

Why Join Company 20?

Be part of an innovative and fast-growing company revolutionizing the tech industry.
Opportunity to build a team and establish a long-term presence in one of Europe’s most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.

You Should Not Apply If

You are looking for a corporate 9 to 5 job
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job
You do not aim to be one of the best in the world at what you do
"
